Senseur,Date,Temps,Distance
S1_1,9/24/2016,31:00.0,8.680326988
S1_1,9/24/2016,31:10.0,4.202428494
S1_1,9/24/2016,31:20.0,10.36177434
S1_1,9/24/2016,31:30.0,7.305143723
S1_1,9/24/2016,31:40.0,13.40120198
S1_1,9/24/2016,31:50.0,14.83815588
S1_1,9/24/2016,32:00.0,16.5683234
S1_1,9/24/2016,32:10.0,4.454892198
S1_1,9/24/2016,32:20.0,4.941392109
S1_1,9/24/2016,32:30.0,8.266806274
S1_1,9/24/2016,32:40.0,18.31400092
S1_1,9/24/2016,32:50.0,4.799500832
S1_1,9/24/2016,33:00.0,15.48234094
S1_1,9/24/2016,33:10.0,14.09854647
S1_1,9/24/2016,33:20.0,18.79754763
S1_1,9/24/2016,33:30.0,20.40681623
S1_1,9/24/2016,33:40.0,17.54949573
S1_1,9/24/2016,33:50.0,19.2346857
S1_1,9/24/2016,34:00.0,12.81892364
S1_1,9/24/2016,34:10.0,14.4461342
S1_1,9/24/2016,34:20.0,19.52195477
S1_1,9/24/2016,34:30.0,12.53645785
S1_1,9/24/2016,34:40.0,12.82844674
S1_1,9/24/2016,34:50.0,16.0228364
S1_1,9/24/2016,35:00.0,6.091675065
S1_1,9/24/2016,35:10.0,18.3322963
S1_1,9/24/2016,35:20.0,10.51142548
S1_1,9/24/2016,35:30.0,5.248894926
S1_1,9/24/2016,35:40.0,10.91416081
S1_1,9/24/2016,35:50.0,11.38329979
S1_1,9/24/2016,36:00.0,15.12949031
S1_1,9/24/2016,36:10.0,15.56808917
S1_1,9/24/2016,36:20.0,19.82660475
S1_1,9/24/2016,36:30.0,11.55113039
S1_1,9/24/2016,36:40.0,18.17068974
S1_1,9/24/2016,36:50.0,16.52023277
S1_1,9/24/2016,37:00.0,20.25046562
S1_1,9/24/2016,37:10.0,18.61203322
S1_1,9/24/2016,37:20.0,18.06028213
S1_1,9/24/2016,37:30.0,21.53564271
S1_1,9/24/2016,37:40.0,5.343073544
S1_1,9/24/2016,37:50.0,22.94424404
S1_1,9/24/2016,38:00.0,3.731603027
S1_1,9/24/2016,38:10.0,6.918251044
S1_1,9/24/2016,38:20.0,7.668995416
S1_1,9/24/2016,38:30.0,4.70152252
S1_1,9/24/2016,38:40.0,17.60802709
S1_1,9/24/2016,38:50.0,11.32191262
S1_1,9/24/2016,39:00.0,3.731887029
S1_1,9/24/2016,39:10.0,11.18044796
S1_1,9/24/2016,39:20.0,7.636844
S1_1,9/24/2016,39:30.0,18.54296898
S1_1,9/24/2016,39:40.0,22.55367332
S1_1,9/24/2016,39:50.0,21.24606438
S1_1,9/24/2016,40:00.0,14.96682165
S1_1,9/24/2016,40:10.0,4.260660584
S1_1,9/24/2016,40:20.0,22.80276486
S1_1,9/24/2016,40:30.0,6.171027893
S1_1,9/24/2016,40:40.0,22.92228565
S1_1,9/24/2016,40:50.0,14.17840766
S1_1,9/24/2016,41:00.0,6.66882819
S1_1,9/24/2016,41:10.0,21.94729389
S1_1,9/24/2016,41:20.0,21.27107784
S1_1,9/24/2016,41:30.0,19.6130052
S1_1,9/24/2016,41:40.0,21.69145252
S1_1,9/24/2016,41:50.0,9.894034093
S1_1,9/24/2016,42:00.0,3.404077071
S1_1,9/24/2016,42:10.0,8.684345104
S1_1,9/24/2016,42:20.0,14.19270234
S1_1,9/24/2016,42:30.0,17.96962709
S1_1,9/24/2016,42:40.0,10.05328634
S1_1,9/24/2016,42:50.0,6.861424765
S1_1,9/24/2016,43:00.0,19.06202059
S1_1,9/24/2016,43:10.0,7.806428232
S1_1,9/24/2016,43:20.0,13.20161354
S1_1,9/24/2016,43:30.0,18.41414348
S1_1,9/24/2016,43:40.0,5.36222665
S1_1,9/24/2016,43:50.0,13.61389071
S1_1,9/24/2016,44:00.0,7.956780215
S1_1,9/24/2016,44:10.0,5.026795279
S1_1,9/24/2016,44:20.0,17.71372867
S1_1,9/24/2016,44:30.0,10.25766685
S1_1,9/24/2016,44:40.0,6.821586802
S1_1,9/24/2016,44:50.0,10.12544937
S1_1,9/24/2016,45:00.0,4.957369249
S1_1,9/24/2016,45:10.0,10.3703415
S1_1,9/24/2016,45:20.0,9.645324895
S1_1,9/24/2016,45:30.0,20.3483666
S1_1,9/24/2016,45:40.0,14.36607935
S1_1,9/24/2016,45:50.0,10.24318835
S1_1,9/24/2016,46:00.0,6.559404221
S1_1,9/24/2016,46:10.0,19.06552342
S1_1,9/24/2016,46:20.0,10.81014452
S1_1,9/24/2016,46:30.0,3.458126016
S1_1,9/24/2016,46:40.0,16.06963777
S1_1,9/24/2016,46:50.0,21.23795304
S1_1,9/24/2016,47:00.0,10.8799513
S1_1,9/24/2016,47:10.0,8.66265053
S1_1,9/24/2016,47:20.0,11.6420576
S1_1,9/24/2016,47:30.0,13.93131745
S1_1,9/24/2016,47:40.0,5.644257547
S1_1,9/24/2016,47:50.0,17.3942768
S1_1,9/24/2016,48:00.0,13.9733951
S1_1,9/24/2016,48:10.0,9.488532407
S1_1,9/24/2016,48:20.0,19.68491303
S1_1,9/24/2016,48:30.0,7.121257433
S1_1,9/24/2016,48:40.0,12.27035917
S1_1,9/24/2016,48:50.0,7.734478667
S1_1,9/24/2016,49:00.0,9.225010841
S1_1,9/24/2016,49:10.0,9.146082405
S1_1,9/24/2016,49:20.0,9.955269159
S1_1,9/24/2016,49:30.0,21.23689536
S1_1,9/24/2016,49:40.0,18.18104996
S1_1,9/24/2016,49:50.0,21.86443429
S1_1,9/24/2016,50:00.0,6.700800533
S1_1,9/24/2016,50:10.0,10.32112436
S1_1,9/24/2016,50:20.0,3.375399572
S1_1,9/24/2016,50:30.0,11.65402355
S1_1,9/24/2016,50:40.0,22.05710364
S1_1,9/24/2016,50:50.0,11.04349053
S1_1,9/24/2016,51:00.0,21.1566605
S1_1,9/24/2016,51:10.0,5.305601051
